station,lat,lon
2733.03,40.633385,-74.016562
2782.02,40.635679,-74.020005
2821.05,40.63556,-74.01298
2832.03,40.637033,-74.022141
2861.02,40.638566,-74.010147
2872.02,40.63766,-74.01782
2883.03,40.638246,-74.024714
2898.01,40.63966,-73.96807
2912.08,40.638196,-74.013821
2923.01,40.639859,-74.019776
2932.03,40.639421,-74.026823
2951.05,40.639673,-74.008957
2961.05,40.640125,-74.015726
2971.02,40.639978,-74.02324
2984.04,40.64034,-73.96603
3000.08,40.640831,-74.010996
3007.05,40.642031,-73.981073
3011.03,40.641269,-74.017651
3019.02,40.640493,-74.02564
3019.03,40.64243139706092,-74.0255355834961
3022.01,40.64269,-73.96099
3034.02,40.64235,-73.96951
3038.08,40.642501,-74.006055
3046.03,40.643817,-73.977433
3050.03,40.642408,-74.013318
3056.05,40.643546,-73.986418
3070.04,40.64173,-73.96364
3084.05,40.642703,-74.009441
3087.01,40.64454,-73.94486
3090.06,40.642809,-73.979239
3093.07,40.642622,-74.016866
3113.06,40.64435,-73.96591
3113.10,40.64378,-73.96867
3117.05,40.644743,-74.003754
3121.01,40.64483,-73.93853
3125.09,40.64471895763575,-73.97451460361481
3129.08,40.643371,-74.011884
3132.09,40.64507,-73.9488
3135.04,40.644367,-73.984276
3138.09,40.644512,-74.021506
3140.09,40.64491,-73.95487
3148.08,40.64466,-73.96322
3148.09,40.64483,-73.9613
3155.01,40.64535,-73.93268
3157.08,40.64521,-73.97073
3161.02,40.645921,-74.005708
3164.04,40.64575,-73.94331
3166.03,40.645074,-73.979681
3169.07,40.644862,-74.014531
3172.01,40.64683,-73.94933
3178.02,40.646377,-74.023087
3180.02,40.64499,-73.95818
3180.09,40.64741,-73.95933
3187.01,40.64621,-73.93067
3188.04,40.64672,-73.96637
3192.05,40.647379,-74.000911
3199.01,40.647718,-73.973663
3202.06,40.646351,-74.009271
3205.06,40.64725,-73.94352
3208.07,40.646037,-73.980963
3211.06,40.64744,-74.018846
3214.04,40.64661,-73.95401
3220.01,40.646475,-74.026081
3223.07,40.64873,-73.96084
3229.07,40.64795,-73.93182
3230.01,40.648481,-73.97058
3233.06,40.647105,-74.004483
3240.15,40.649037,-73.97673
3243.02,40.649143,-74.012384
3246.06,40.64868,-73.94635
3253.01,40.649292,-74.020105
3256.04,40.64796,-73.9556
3263.01,40.64958,-73.96316
3266.01,40.648169,-74.000057
3272.01,40.648055,-73.972432
3275.03,40.649145,-74.009486
3278.07,40.64915,-73.94368
3280.04,40.648005,-73.979342
3283.05,40.650176,-74.015606
3286.07,40.64871,-73.95218
3294.03,40.65007,-73.96001
3300.04,40.65182,-73.93135
3300.06,40.65,-73.93296
3303.01,40.649681,-73.967829
3303.03,40.649681,-73.967829
3306.03,40.649983,-74.005144
3309.04,40.65127,-73.93818
3312.07,40.651745,-73.975988
3315.05,40.651173,-74.011405
3318.05,40.65116,-73.94577
3327.01,40.64949,-73.95408
3335.09,40.65153,-73.96277
3341.06,40.65159,-73.93535
3344.02,40.651566,-73.972212
3347.03,40.651354,-74.007168
3350.04,40.65106,-73.94193
3353.04,40.650739,-73.977739
3356.07,40.65230357303063,-74.01344954967499
3359.01,40.65074,-73.94986
3359.03,40.65272,-73.94994
3368.04,40.65237,-73.95623
3376.02,40.651847,-73.965248
3376.04,40.6532,-73.96639
3379.03,40.652657,-74.002356
3382.04,40.6533,-73.93644
3385.06,40.652563,-73.972573
3388.02,40.652512,-74.008906
3391.10,40.65302,-73.94599
3394.03,40.651654,-73.981231
3400.04,40.65378,-73.95273
3408.05,40.65326,-73.96172
3420.01,40.654144,-74.00422
3426.02,40.653368,-73.976291
3428.04,40.65292829363811,-74.01286482810974
3431.02,40.65458,-73.94716
3439.03,40.65519,-73.9564
3448.02,40.65485,-73.96217
3451.01,40.654098,-74.001131
3454.01,40.65633,-73.93648
3457.03,40.65482,-73.973217
3460.01,40.65708866668485,-74.00870203971863
3460.02,40.655716,-74.006664
3460.04,40.656326,-74.009627
3460.05,40.655722167971554,-74.01000827550888
3463.01,40.65577,-73.9432
3472.03,40.6555,-73.94975
3480.04,40.65563,-73.95968
3486.02,40.65666,-73.93109
3492.04,40.655278,-74.003101
3495.08,40.65496,-73.93765
3498.09,40.657265,-73.974165
3504.02,40.65794,-73.94735
3507.04,40.656633,-73.983864
3512.03,40.65686,-73.95331
3515.01,40.658029,-73.989605
3520.01,40.65798,-73.96051
3523.06,40.656986,-73.998194
3526.04,40.6582,-73.9338
3526.06,40.65808,-73.93415
3532.02,40.659176,-74.006584
3535.02,40.65791,-73.93967
3535.03,40.6577,-73.9398
3538.09,40.65629,-73.977335
3544.02,40.65707,-73.95005
3547.04,40.658489,-73.985543
3552.09,40.65815,-73.95674
3555.04,40.659555,-73.995068
3564.04,40.657743,-74.001141
3567.05,40.66034,-73.93618
3576.10,40.65969,-73.94517
3579.04,40.65949055893896,-73.98013919591904
3585.06,40.6595,-73.95041
3588.01,40.659053,-73.98854
3593.01,40.66026,-73.96045
3593.10,40.66131,-73.96091
3596.04,40.660079,-73.998633
3599.01,40.66124,-73.93164
3608.06,40.66155,-73.93974
3611.02,40.659945,-73.977504
3617.02,40.66104,-73.94795
3620.02,40.660906,-73.983074
3625.04,40.66035,-73.95679
3625.07,40.66127,-73.95352
3628.11,40.66016,-73.990974
3633.08,40.6605,-73.9626
3639.04,40.66178,-73.93445
3648.06,40.66067,-73.94243
3648.08,40.66219,-73.94293
3651.04,40.6610633719006,-73.97945255041122
3657.06,40.66318,-73.95076
3660.07,40.66093779493168,-73.98680448532104
3665.06,40.6627059,-73.9569115
3668.04,40.662584,-73.995554
3680.04,40.66227,-73.93762
3688.06,40.662564,-73.945565
3696.05,40.6630619,-73.9538746
3699.07,40.663493,-73.991007
3704.01,40.66314,-73.9605695
3704.04,40.663657,-73.963014
3704.08,40.66407983678161,-73.96025128666679
3707.01,40.662611,-73.998623
3710.07,40.66343,-73.93472
3719.02,40.66288,-73.94019
3722.04,40.66514681533792,-73.97637605667114
3728.04,40.66403,-73.94769
3728.05,40.66509,-73.94824
3731.11,40.663779,-73.98396846
3736.03,40.665816,-73.956934
3736.04,40.6642406,-73.9574686
3739.06,40.665507,-73.993037
3742.11,40.66598,-73.9284
3751.05,40.66559,-73.93712
3759.07,40.66481,-73.94269
3762.08,40.6662078,-73.98199886
3768.02,40.66639,-73.95346
3771.06,40.666287,-73.98895053
3776.05,40.666439306870814,-73.9605563879013
3779.02,40.666168,-73.995549
3782.03,40.66619,-73.93162
3791.02,40.6667,-73.93972
3800.07,40.66509,-73.94824
3803.05,40.6663181,-73.9854617
3803.09,40.668127,-73.98377641
3811.05,40.666197,-73.992466
3814.01,40.66591,-73.92602
3822.08,40.66732,-73.93398
3831.03,40.66688,-73.9425
3834.10,40.6686627,-73.97988067
3839.02,40.66811,-73.9505
3842.08,40.6686273,-73.98700053
3845.05,40.66852,-73.92284
3847.04,40.6679411,-73.9588
3850.03,40.6685455,-73.99333264
3853.02,40.66846,-73.9282
3856.03,40.668757,-73.966438
3862.07,40.66929,-73.93679
3865.05,40.668132,-73.97363831
3871.02,40.66939,-73.94514
3874.01,40.6704836,-73.98208968
3877.04,40.66852,-73.91908
3879.04,40.6691783,-73.9554162
3882.01,40.668603,-73.9904394
3882.05,40.66967356370341,-73.98898908183764
3885.06,40.67015,-73.92538
3887.03,40.6686744,-73.9618148
3893.03,40.66876,-73.93376
3902.06,40.66959,-73.94237
3905.15,40.6703837,-73.97839676
3911.05,40.66967,-73.9503
3914.02,40.6704922,-73.98541675
3917.03,40.66992,-73.92002
3919.07,40.6707767,-73.9576801
3919.12,40.670529,-73.958222
3922.02,40.671907,-73.993612
3925.03,40.67128,-73.92825
3928.08,40.6716493,-73.9631145
3931.09,40.671409,-74.001328
3934.06,40.6716,-73.93378
3934.07,40.67251,-73.93642
3940.04,40.67267243410948,-74.0087952464819
3943.03,40.67113,-73.94222
3946.07,40.672784,-73.979826
3950.03,40.67154,-73.91433
3952.07,40.67077,-73.9507
3955.05,40.6705135,-73.98876585
3958.02,40.67095,-73.92222
3960.01,40.6721683,-73.9609
3966.01,40.6705,-73.9308
3966.03,40.67242,-73.93094
3972.08,40.6725058,-74.00494695
3975.02,40.67297,-73.93896
3978.13,40.6711978,-73.97484126
3981.10,40.67363551341504,-74.01195555925369
3982.01,40.67319,-73.91083
3984.02,40.67234,-73.94763
3987.06,40.6728155,-73.98352355
3991.04,40.67261,-73.91977
3993.03,40.672695,-73.954131
3996.01,40.67260298150126,-73.98983001708984
3999.06,40.67202,-73.92539
4001.09,40.6737236,-73.9631611
4007.01,40.67351,-73.93363
4010.01,40.673134,-73.969106
4010.13,40.6750207,-73.97111473
4010.15,40.6729679,-73.97087984
4013.08,40.6747055,-74.0075572
4014.01,40.67522,-73.9061
4016.03,40.67308,-73.94191
4019.06,40.6740886,-73.9787282
4023.01,40.67313,-73.91387
4023.05,40.67568,-73.91396
4025.02,40.67428,-73.9503
4028.03,40.6750705,-73.98775226
4028.04,40.673746,-73.985649
4031.05,40.67372,-73.92199
4033.06,40.6741806,-73.9564947
4033.16,40.67324785,-73.95689517
4039.04,40.67404,-73.92772
4042.08,40.6740123,-73.9671457
4045.01,40.67434,-74.00194698
4048.03,40.67524,-73.93596
4051.01,40.675146838709786,-73.97523209452629
4054.02,40.6753274,-74.0100698
4054.06,40.67487503856169,-74.01048018571481
4055.04,40.67374,-73.90852
4057.04,40.67412,-73.94447
4060.09,40.6751622,-73.9814832
4064.03,40.67423,-73.91656
4066.15,40.676368,-73.952918
4072.02,40.6747,-73.92512
4074.14,40.676513,-73.959431
4077.04,40.6746957,-73.99785768
4077.07,40.6763947,-73.99869893
4080.01,40.67686,-73.93327
4086.05,40.6769993,-74.00647134
4086.06,40.6763744,-74.00324957
4087.01,40.67621,-73.90351
4089.01,40.6756,-73.9415
4095.03,40.6773429,-74.01275056
4095.10,40.6758329439129,-74.01472628116608
4096.08,40.67486,-73.91123
4098.06,40.67514,-73.94716
4101.17,40.676757,-73.983262
4105.01,40.67607,-73.92171
4107.05,40.6758324,-73.9561677
4107.13,40.67759206937376,-73.955637216568
4110.10,40.6777287,-73.99364123
4113.01,40.67639,-73.92748
4116.08,40.6769694,-73.96579
4116.09,40.675832,-73.963308
4119.04,40.6783563,-74.00014502
4120.02,40.67709,-73.9008
4122.03,40.67686,-73.93607
4124.04,40.6803560840434,-73.9476791024208
4125.07,40.6776147,-73.97324283
4128.08,40.6777748,-74.0094613
4129.10,40.67738,-73.90829
4131.03,40.67669,-73.94437
4134.06,40.6765304,-73.97846879
4137.10,40.677236,-74.015665
4137.14,40.67818387977647,-74.0170168876648
4138.04,40.67854,-73.91367
4140.03,40.6776,-73.94963
4143.03,40.67909799721684,-73.98765474557877
4143.04,40.677027,-73.9865
4146.02,40.67717,-73.92285
4148.07,40.6791944,-73.9587903
4151.01,40.6787242,-73.99599099
4154.02,40.6767,-73.93051
4157.10,40.6794388,-73.9680438
4157.15,40.67767534,-73.96902144
4161.01,40.6786,-73.90369
4166.08,40.6793307,-73.97519523
4169.04,40.679043,-74.011169
4170.08,40.67872,-73.91105
4172.04,40.67955,-73.94709
4175.14,40.6792788,-73.98154004
4175.15,40.6772744,-73.98282002
4179.03,40.67853,-73.91642
4181.10,40.68012,-73.95362
4184.07,40.6786115,-73.99037292
4187.04,40.67923,-73.92588
4190.06,40.678045,-73.962408
4193.14,40.6809591,-73.99905709
4196.01,40.67972,-73.93467
4196.05,40.68012,-73.93168
4199.07,40.680092336223886,-73.97118045900022
4199.12,40.6809741,-73.9710097
4199.13,40.67911856082165,-73.97176265716553
4202.04,40.6794327,-74.00785041
4203.04,40.67945,-73.90474
4205.06,40.67890679,-73.94142771
4208.01,40.678970070475735,-73.97855266928671
4212.01,40.68018,-73.91136
4214.03,40.6809833854,-73.9500479759
4214.04,40.6803560840434,-73.9476791024208
4217.02,40.6802133,-73.98432695
4217.06,40.67977,-73.9847
4220.02,40.67922,-73.92192
4222.02,40.680342423,-73.9557689392
4225.14,40.680611,-73.99475825
4228.02,40.6794268,-73.9298911
4228.06,40.68044,-73.92842
4231.04,40.6804836,-73.9646795
4237.01,40.6814598,-73.934903
4237.02,40.6800105,-73.938475
4243.01,40.6812117,-74.00860912
4244.06,40.68139,-73.90756
4246.02,40.68078,-73.94613
4249.10,40.68177810928762,-73.97988975048065
4253.02,40.6814658848122,-73.91415685415268
4255.05,40.68216564,-73.95399026
4258.07,40.68199044270703,-73.99079024791718
4261.03,40.68143,-73.92565
4263.12,40.68186,-73.959432
4266.03,40.6831164,-73.99785267
4278.03,40.682601,-73.938037
4281.08,40.680944723477296,-73.97567331790923
4285.09,40.68319988172761,-73.91166642308235
4290.06,40.6827549,-73.98258555
4293.05,40.68158,-73.91959
4298.05,40.6829151,-73.99318208
4301.04,40.68374,-73.9261
4301.07,40.68273,-73.92926
4307.13,40.6828003,-73.99990419
4310.06,40.68282,-73.93488
4317.05,40.68281,-73.90623
4319.07,40.6823687,-73.944118
4322.06,40.68256425759694,-73.9798977971077
4325.03,40.68491,-73.91493
4327.09,40.68402,-73.94977
4330.09,40.6843549,-73.98901629
4334.02,40.68494,-73.92299
4336.01,40.6845683,-73.95881081
4339.01,40.6849894,-73.99440329
4342.04,40.68487,-73.9293
4345.11,40.68323865460341,-73.96599590778351
4348.07,40.6830456,-74.00348559
4354.05,40.68539567,-73.97431458
4354.07,40.68382604,-73.97632328
4357.01,40.68458,-73.90925
4362.04,40.6853761,-73.98302136
4366.01,40.68565,-73.91564
4366.10,40.68332,-73.91711
4368.05,40.6851443,-73.95380904
4371.01,40.68542400997018,-73.99127773940563
4374.01,40.68512559515415,-74.02535319328308
4375.02,40.68609,-73.92628
4377.04,40.68488,-73.96304
4380.08,40.6847514,-73.99917254
4383.06,40.68454,-73.9322
4386.05,40.68415748,-73.96922273
4392.04,40.6851532,-73.94111
4395.07,40.68506807308177,-73.97790759801863
4399.03,40.68652,-73.91321
4404.10,40.6849668,-73.98620772
4408.07,40.68452,-73.92011
4413.08,40.686371,-73.99383324
4416.10,40.68713,-73.93008
4419.03,40.68650065,-73.96563307
4422.04,40.6859296,-74.00242364
4422.05,40.68763155,-74.0016256
4425.02,40.686312,-73.935775
4428.02,40.68753406,-73.97265183
4432.10,40.6882,-73.90798
4434.06,40.686203,-73.944694
4437.01,40.68683208,-73.9796772
4437.09,40.68737247650719,-73.98176059126854
4440.02,40.68706579875912,-74.01675585121666
4441.06,40.68663,-73.9168
4446.01,40.6867443,-73.99063168
4446.03,40.687880939612775,-73.98939281702042
4446.05,40.6864442,-73.98759104
4450.06,40.68705,-73.92338
4452.01,40.68900443,-73.96023854
4452.03,40.68676793,-73.95928168
4455.10,40.68825516598005,-73.99545192718506
4455.11,40.6861758,-73.99645295
4458.06,40.68834,-73.93306
4461.01,40.68764484,-73.96968902
4461.04,40.68940747,-73.96885458
4467.03,40.686722,-73.938988
4470.09,40.68700231292619,-73.97664964199066
4474.01,40.68858,-73.91227
4476.03,40.6900815,-73.947915
4479.06,40.6896218879,-73.9830426872
4479.10,40.6886263,-73.9851911
4483.10,40.68822,-73.91966
4488.08,40.6902375,-73.99203074
